"","x"
"292","TCGA-EL-A4K0-01A"
"293","TCGA-ET-A2N4-01A"
"294","TCGA-EL-A3H1-01A"
"295","TCGA-ET-A4KN-01A"
"296","TCGA-EM-A3AL-01A"
"297","TCGA-DJ-A3V6-01A"
"298","TCGA-EL-A3CY-01A"
"299","TCGA-EM-A22L-01A"
"300","TCGA-DO-A2HM-01B"
"301","TCGA-DJ-A13M-01A"
"302","TCGA-BJ-A45E-01A"
"303","TCGA-EM-A3AK-01A"
"304","TCGA-EM-A2CR-01A"
"305","TCGA-EM-A4FU-01A"
"306","TCGA-EM-A2CQ-01A"
"307","TCGA-BJ-A3PT-01A"
"308","TCGA-EM-A3FL-01A"
"309","TCGA-EL-A3ZN-01A"
"310","TCGA-BJ-A0ZC-01A"
"311","TCGA-ET-A3BV-01A"
"312","TCGA-DJ-A4UP-01A"
"313","TCGA-EL-A3H8-01A"
"314","TCGA-FY-A40K-01A"
"315","TCGA-DE-A3KN-01A"
"316","TCGA-EM-A3SU-01A"
"317","TCGA-EL-A3H7-01A"
"318","TCGA-ET-A39O-01A"
"319","TCGA-EL-A3GV-01A"
"320","TCGA-DJ-A3UP-01A"
"321","TCGA-EL-A4K6-01A"
"322","TCGA-EL-A3D1-01A"
"323","TCGA-DJ-A2QC-01A"
"324","TCGA-J8-A3YD-01A"
"325","TCGA-FY-A4B4-01A"
"326","TCGA-FY-A3R8-01A"
"327","TCGA-BJ-A3PR-01A"
"328","TCGA-J8-A4HY-01A"
"329","TCGA-DE-A69K-01A"
"330","TCGA-EM-A2CU-01A"
"331","TCGA-E8-A438-01A"
"332","TCGA-EL-A3N3-01A"
"333","TCGA-DE-A4M8-01A"
"334","TCGA-EM-A1YE-01A"
"335","TCGA-FE-A238-01A"
"336","TCGA-FY-A2QD-01A"
"337","TCGA-EL-A4K7-01A"
"338","TCGA-DE-A0XZ-01A"
"339","TCGA-FE-A236-01A"
"340","TCGA-BJ-A28X-01A"
"341","TCGA-H2-A26U-01A"
"342","TCGA-FY-A3TY-01A"
"343","TCGA-DJ-A13V-01A"
"344","TCGA-DJ-A3UT-01A"
"345","TCGA-DE-A0Y2-01A"
"346","TCGA-E8-A417-01A"
"347","TCGA-E8-A44K-01A"
"348","TCGA-BJ-A0Z2-01A"
"349","TCGA-DJ-A3V5-01A"
"350","TCGA-ET-A39T-01A"
"351","TCGA-BJ-A190-01A"
"352","TCGA-DJ-A1QN-01A"
"353","TCGA-KS-A4I1-01A"
"354","TCGA-EL-A3N2-01A"
"355","TCGA-EL-A4KI-01A"
"356","TCGA-EM-A2CO-01A"
"357","TCGA-DJ-A13U-01A"
"358","TCGA-FY-A3NM-01A"
"359","TCGA-KS-A41I-01A"
"360","TCGA-EL-A3D0-01A"
"361","TCGA-DJ-A2PP-01A"
"362","TCGA-ET-A25L-01A"
"363","TCGA-EL-A3TB-01A"
"364","TCGA-EL-A3D4-01A"
